!Trace Data File
!Measurement: Smith Chart
!Data Points: 4000
#Freq/Hz  Real  Image
1000000  1.092298865  -0.173201680  
2000000  1.079662442  -0.249326169  
3000000  1.055000663  -0.330786526  
4000000  1.023279071  -0.414397389  
5000000  0.985818565  -0.496580780  
6000000  0.938884139  -0.577448487  
7000000  0.886128724  -0.654181480  
8000000  0.826792121  -0.727119327  
9000000  0.761072636  -0.794944286  
10000000  0.689583659  -0.857084513  
11000000  0.612279475  -0.913518786  
12000000  0.530458748  -0.963058412  
13000000  0.443779916  -1.005358934  
14000000  0.353321642  -1.040242791  
15000000  0.260203779  -1.066739917  
16000000  0.164432257  -1.085176110  
17000000  0.066794038  -1.094956160  
18000000  -0.031592481  -1.096006393  
19000000  -0.130199879  -1.088007092  
20000000  -0.228131026  -1.070905685  
21000000  -0.324409574  -1.044800520  
22000000  -0.418138117  -1.009930849  
23000000  -0.508543551  -0.966205060  
24000000  -0.594627738  -0.914128542  
25000000  -0.675366342  -0.854497969  
26000000  -0.750473022  -0.786926150  
27000000  -0.818403006  -0.712924659  
28000000  -0.879290581  -0.633330762  
29000000  -0.932107985  -0.548421204  
30000000  -0.976750910  -0.459479511  
31000000  -1.012766361  -0.366488427  
32000000  -1.040150285  -0.271156907  
33000000  -1.058414221  -0.173538208  
34000000  -1.067756891  -0.074757144  
35000000  -1.067933321  0.024296410  
36000000  -1.058928847  0.122544259  
37000000  -1.041074634  0.219092458  
38000000  -1.014528751  0.313332349  
39000000  -0.979800820  0.404190928  
40000000  -0.936905205  0.491273403  
41000000  -0.886332750  0.574044406  
42000000  -0.828848362  0.651328564  
43000000  -0.764464796  0.723136604  
44000000  -0.694055319  0.788467526  
45000000  -0.618518293  0.847017944  
46000000  -0.538311541  0.898333371  
47000000  -0.454524726  0.941687703  
48000000  -0.367697179  0.977458656  
49000000  -0.278368980  1.004896402  
50000000  -0.187714368  1.024475694  
51000000  -0.095893174  1.035911322  
52000000  -0.004146025  1.039443970  
53000000  0.087485783  1.035200834  
54000000  0.178019494  1.022647858  
55000000  0.266371042  1.002883554  
56000000  0.352647275  0.975823939  
57000000  0.436174840  0.941221654  
58000000  0.516078413  0.900059700  
59000000  0.592010617  0.852253973  
60000000  0.663516879  0.798412263  
61000000  0.729906857  0.738831937  
62000000  0.791021109  0.674223065  
63000000  0.846500337  0.604164422  
64000000  0.895705700  0.529943764  
65000000  0.938800216  0.451616704  
66000000  0.975065053  0.369805843  
67000000  1.004124403  0.284924150  
68000000  1.025751948  0.198052615  
69000000  1.040055156  0.109384701  
70000000  1.046813011  0.019343421  
71000000  1.045529127  -0.071038499  
72000000  1.036485076  -0.160938531  
73000000  1.019811988  -0.249752805  
74000000  0.995544076  -0.336616129  
75000000  0.963970482  -0.421069801  
76000000  0.925147295  -0.502674043  
77000000  0.879345775  -0.581027925  
78000000  0.826676250  -0.655220449  
79000000  0.767849743  -0.724842370  
80000000  0.702645719  -0.789302766  
81000000  0.631905019  -0.847826779  
82000000  0.556144059  -0.900495112  
83000000  0.475677967  -0.945881784  
84000000  0.391048998  -0.984460294  
85000000  0.303335160  -1.015501261  
86000000  0.212920770  -1.038302779  
87000000  0.120046049  -1.053221703  
88000000  0.026041089  -1.059666514  
89000000  -0.068478093  -1.057472706  
90000000  -0.162555709  -1.046573162  
91000000  -0.255494297  -1.027052045  
92000000  -0.346395165  -0.999157190  
93000000  -0.434559375  -0.962764680  
94000000  -0.519014657  -0.918242037  
95000000  -0.599094212  -0.866280019  
96000000  -0.673941076  -0.807305276  
97000000  -0.743100703  -0.741265059  
98000000  -0.805865049  -0.669089317  
99000000  -0.861649394  -0.591561258  
100000000  -0.910013318  -0.509371102  
101000000  -0.950454772  -0.423333317  
102000000  -0.982740998  -0.334366173  
103000000  -1.006790519  -0.242603749  
104000000  -1.022216439  -0.148681685  
105000000  -1.029014587  -0.053845301  
106000000  -1.027001381  0.041076712  
107000000  -1.016385913  0.135290891  
108000000  -0.997089803  0.227792352  
109000000  -0.969624817  0.317825407  
110000000  -0.933976769  0.404963464  
111000000  -0.890671194  0.488148391  
112000000  -0.839970887  0.566821516  
113000000  -0.782501757  0.640562773  
114000000  -0.718913555  0.708338439  
115000000  -0.649514496  0.769951165  
116000000  -0.575416863  0.824702084  
117000000  -0.496976674  0.872194290  
118000000  -0.414847136  0.912732661  
119000000  -0.329904824  0.945248246  
120000000  -0.242973655  0.969921231  
121000000  -0.154702529  0.987099290  
122000000  -0.065324567  0.996398866  
123000000  0.023907816  0.997788787  
124000000  0.112872809  0.991479635  
125000000  0.200582385  0.977340281  
126000000  0.286760926  0.956290364  
127000000  0.369976759  0.927569509  
128000000  0.450295568  0.892123222  
129000000  0.527403176  0.849631846  
130000000  0.600657225  0.800985932  
131000000  0.669156492  0.746106923  
132000000  0.732716680  0.685854495  
133000000  0.790717602  0.620372534  
134000000  0.842778683  0.550400734  
135000000  0.888757825  0.476177722  
136000000  0.928467453  0.398279309  
137000000  0.961440384  0.316736788  
138000000  0.987328649  0.232104585  
139000000  1.005875230  0.145343661  
140000000  1.016580582  0.056932293  
141000000  1.019607306  -0.031942599  
142000000  1.014780521  -0.120483108  
143000000  1.002378106  -0.208094507  
144000000  0.982499659  -0.294249088  
145000000  0.955247283  -0.378427505  
146000000  0.920934796  -0.460103422  
147000000  0.879506409  -0.538785160  
148000000  0.831221521  -0.613648772  
149000000  0.776528835  -0.684306383  
