!Trace Data File
!Measurement: Smith Chart
!Data Points: 4000
#Freq/Hz  Real  Image
1000000  1.127686501  -0.187498480  
2000000  1.116417289  -0.264846087  
3000000  1.091609955  -0.346436262  
4000000  1.059537411  -0.431357533  
5000000  1.021004558  -0.516560316  
6000000  0.973594964  -0.598128021  
7000000  0.919744194  -0.677094400  
8000000  0.859426737  -0.752629697  
9000000  0.792075872  -0.822607994  
10000000  0.718942642  -0.887467623  
11000000  0.639894962  -0.945875823  
12000000  0.555984020  -0.997853518  
13000000  0.466611773  -1.042464375  
14000000  0.373802722  -1.079207659  
15000000  0.277462155  -1.107949257  
16000000  0.178720504  -1.128180981  
17000000  0.077657662  -1.139639616  
18000000  -0.024221335  -1.141806602  
19000000  -0.126703307  -1.134566307  
20000000  -0.228377551  -1.118164063  
21000000  -0.328762233  -1.092456341  
22000000  -0.426862568  -1.057416558  
23000000  -0.521551013  -1.013307214  
24000000  -0.611913919  -0.960476696  
25000000  -0.696862519  -0.898782611  
26000000  -0.776146650  -0.829876900  
27000000  -0.848234415  -0.753718078  
28000000  -0.912776589  -0.671279013  
29000000  -0.969188392  -0.583295703  
30000000  -1.016922116  -0.490703166  
31000000  -1.056031942  -0.394262671  
32000000  -1.085740805  -0.294633776  
33000000  -1.106365561  -0.192987233  
34000000  -1.117350340  -0.089700274  
35000000  -1.118868470  0.014022742  
36000000  -1.110797167  0.116987526  
37000000  -1.093317986  0.218389615  
38000000  -1.066719770  0.317204833  
39000000  -1.031347394  0.413028985  
40000000  -0.987434030  0.504759550  
41000000  -0.935736775  0.591930211  
42000000  -0.876490116  0.673845649  
43000000  -0.809734046  0.749714673  
44000000  -0.736854494  0.819127798  
45000000  -0.658144474  0.881107569  
46000000  -0.574997067  0.935635149  
47000000  -0.487482697  0.982236266  
48000000  -0.397057593  1.020730019  
49000000  -0.303764701  1.050509930  
50000000  -0.208863020  1.072031021  
51000000  -0.113107562  1.085350156  
52000000  -0.017148724  1.089942455  
53000000  0.078751542  1.086557508  
54000000  0.173580170  1.074976206  
55000000  0.266302407  1.055270195  
56000000  0.356941044  1.028075099  
57000000  0.444552451  0.993061304  
58000000  0.528617382  0.951098382  
59000000  0.608493567  0.902243316  
60000000  0.684033692  0.847067654  
61000000  0.754377604  0.785825074  
62000000  0.819292784  0.718841910  
63000000  0.878443003  0.646926343  
64000000  0.931250155  0.570153713  
65000000  0.977374494  0.489099085  
66000000  1.016706347  0.403933972  
67000000  1.048769832  0.315758765  
68000000  1.073159099  0.225133747  
69000000  1.089637637  0.132657439  
70000000  1.098295689  0.038685642  
71000000  1.098847032  -0.056102224  
72000000  1.091227174  -0.150575414  
73000000  1.075466633  -0.243717253  
74000000  1.051927924  -0.335050106  
75000000  1.020578623  -0.424357593  
76000000  0.981443465  -0.510773003  
77000000  0.935306966  -0.593678653  
78000000  0.881762505  -0.672645032  
79000000  0.821440220  -0.747022271  
80000000  0.754744112  -0.816239119  
81000000  0.681967974  -0.879264772  
82000000  0.603497207  -0.935981572  
83000000  0.520040572  -0.985954940  
84000000  0.432413936  -1.028567076  
85000000  0.340550631  -1.063110113  
86000000  0.245778680  -1.089683414  
87000000  0.148576826  -1.107427120  
88000000  0.049565859  -1.116276264  
89000000  -0.049842358  -1.116415977  
90000000  -0.149300545  -1.107366204  
91000000  -0.247783855  -1.088968515  
92000000  -0.344604820  -1.061799526  
93000000  -0.438733071  -1.025428653  
94000000  -0.529132545  -0.980563045  
95000000  -0.614703894  -0.927398622  
96000000  -0.695362568  -0.866685629  
97000000  -0.769923866  -0.798619211  
98000000  -0.837979198  -0.723758101  
99000000  -0.898857832  -0.642934740  
100000000  -0.951821208  -0.556857288  
101000000  -0.996498883  -0.466737151  
102000000  -1.032722712  -0.373214990  
103000000  -1.059995770  -0.276448488  
104000000  -1.078388691  -0.177602485  
105000000  -1.087477088  -0.077264972  
