!Trace Data File
!Measurement: Smith Chart
!Data Points: 4000
#Freq/Hz  Real  Image
1000000  1.128625274  -0.185475424  
2000000  1.117096901  -0.262120545  
3000000  1.092366099  -0.343662739  
4000000  1.060645461  -0.428442001  
5000000  1.022319794  -0.511699498  
6000000  0.975571394  -0.594956577  
7000000  0.922356784  -0.673692942  
8000000  0.862464190  -0.749120712  
9000000  0.795775533  -0.819151521  
10000000  0.723488450  -0.884167194  
11000000  0.645002723  -0.942818880  
12000000  0.561585903  -0.994708061  
13000000  0.473316371  -1.039780736  
14000000  0.381001770  -1.077049017  
15000000  0.285251498  -1.106161714  
16000000  0.187164724  -1.126909494  
17000000  0.086656578  -1.138944387  
18000000  -0.014799635  -1.141971827  
19000000  -0.116840675  -1.135937572  
20000000  -0.218108729  -1.120823860  
21000000  -0.318196684  -1.096016288  
22000000  -0.416043967  -1.062080145  
23000000  -0.510812819  -1.019181728  
24000000  -0.601418793  -0.967431962  
25000000  -0.687044263  -0.907483339  
26000000  -0.766331196  -0.839531898  
27000000  -0.839071929  -0.764759421  
28000000  -0.904474556  -0.683417559  
29000000  -0.961693823  -0.596728146  
30000000  -1.010658264  -0.505234838  
31000000  -1.050856113  -0.409787267  
32000000  -1.082037091  -0.311123788  
33000000  -1.103946805  -0.210163176  
34000000  -1.116640449  -0.107524589  
35000000  -1.119752049  -0.004290794  
36000000  -1.113474131  0.098466873  
37000000  -1.097739220  0.199615002  
38000000  -1.073035479  0.298551947  
39000000  -1.039432168  0.394522816  
40000000  -0.997321129  0.486816883  
41000000  -0.947561681  0.574585974  
42000000  -0.889830351  0.657254279  
43000000  -0.825273037  0.734095931  
44000000  -0.753887117  0.804736018  
45000000  -0.677000523  0.868160248  
46000000  -0.595082343  0.924371362  
47000000  -0.508984208  0.972747624  
48000000  -0.419360995  1.012708187  
49000000  -0.327407002  1.044723272  
50000000  -0.233330593  1.068375468  
51000000  -0.138066217  1.083374619  
52000000  -0.042309299  1.090473771  
53000000  0.053315103  1.089198112  
54000000  0.148057491  1.079683542  
55000000  0.241133139  1.062336564  
56000000  0.332111686  1.037119627  
57000000  0.420227796  1.004490733  
58000000  0.505219996  0.964573026  
59000000  0.586052060  0.917956471  
60000000  0.662606895  0.864934623  
61000000  0.734259665  0.805632234  
62000000  0.800712526  0.740395844  
63000000  0.861351907  0.670363486  
64000000  0.915995657  0.595258892  
65000000  0.964119077  0.515787959  
66000000  1.005710125  0.432238907  
67000000  1.039937735  0.345228076  
68000000  1.066619396  0.255698711  
69000000  1.085794091  0.164201826  
70000000  1.097138762  0.071007736  
71000000  1.100544691  -0.023411682  
72000000  1.095815301  -0.117800064  
73000000  1.082798243  -0.211084202  
74000000  1.062076330  -0.302862376  
75000000  1.033633590  -0.392556459  
76000000  0.997730076  -0.479783028  
77000000  0.954088807  -0.563828826  
78000000  0.903623581  -0.644075155  
79000000  0.845969737  -0.719891727  
80000000  0.781998515  -0.790804744  
81000000  0.711668789  -0.856158555  
82000000  0.635657728  -0.915467441  
83000000  0.554732680  -0.967832923  
84000000  0.468742549  -1.013251066  
85000000  0.378865808  -1.051060438  
86000000  0.285421431  -1.080648541  
87000000  0.189779148  -1.102276087  
88000000  0.091906779  -1.114726901  
89000000  -0.007232204  -1.118927240  
90000000  -0.106552079  -1.113933563  
91000000  -0.205225706  -1.099777102  
92000000  -0.302587658  -1.076448202  
93000000  -0.397629946  -1.044097662  
94000000  -0.489071667  -1.003309250  
95000000  -0.576923370  -0.954168320  
96000000  -0.659771800  -0.897082090  
97000000  -0.736998200  -0.832759380  
98000000  -0.808078825  -0.760938287  
99000000  -0.872125924  -0.683196604  
100000000  -0.928933799  -0.599886596  
101000000  -0.977494538  -0.512004435  
102000000  -1.017605901  -0.420313001  
103000000  -1.049259901  -0.325496584  
104000000  -1.072156549  -0.227973580  
105000000  -1.086088181  -0.128548726  
106000000  -1.090746641  -0.028321395  
107000000  -1.086068273  0.071813382  
108000000  -1.072376966  0.170555398  
109000000  -1.049700260  0.267643720  
110000000  -1.018444896  0.361988634  
111000000  -0.978688955  0.452674538  
112000000  -0.931068301  0.539498687  
113000000  -0.875773609  0.620983422  
114000000  -0.813485563  0.697196066  
115000000  -0.744988859  0.767162859  
116000000  -0.670539320  0.830118954  
117000000  -0.591196597  0.886319757  
118000000  -0.507610917  0.934537768  
119000000  -0.420659691  0.975114524  
120000000  -0.330802441  1.007916808  
121000000  -0.239062160  1.032013297  
122000000  -0.145853981  1.048284173  
123000000  -0.051800039  1.056596637  
124000000  0.042124286  1.056514144  
125000000  0.135469392  1.048593283  
126000000  0.227270961  1.032171845  
127000000  0.317133546  1.008566737  
128000000  0.404474735  0.977578163  
129000000  0.488533258  0.939007998  
130000000  0.569035947  0.893567324  
131000000  0.645236671  0.841376603  
132000000  0.716654778  0.783054650  
133000000  0.782563210  0.719106853  
134000000  0.842805088  0.649843097  
135000000  0.897011340  0.575795174  
136000000  0.945041478  0.497371495  
137000000  0.986077249  0.414974391  
138000000  1.020181656  0.329023510  
139000000  1.046993852  0.239748046  
140000000  1.065959692  0.148062736  
141000000  1.076673388  0.054773632  
142000000  1.079432368  -0.038879752  
143000000  1.073897958  -0.131901950  
144000000  1.060599685  -0.224012926  
145000000  1.039597154  -0.314729869  
146000000  1.010834098  -0.403189272  
147000000  0.974496186  -0.489282161  
148000000  0.930792153  -0.572074592  
149000000  0.879824340  -0.651003778  
150000000  0.822084129  -0.725514770  
151000000  0.758045912  -0.794974804  
152000000  0.687735379  -0.858568370  
153000000  0.611978114  -0.916149676  
154000000  0.531426668  -0.966731310  
155000000  0.446563035  -1.010194421  
156000000  0.357817382  -1.045982718  
157000000  0.265635312  -1.073922873  
158000000  0.171487585  -1.093478680  
159000000  0.075486384  -1.104750752  
160000000  -0.021364523  -1.107483983  
161000000  -0.118098877  -1.100811958  
162000000  -0.214130089  -1.085805058  
163000000  -0.308235735  -1.061957955  
164000000  -0.400107563  -1.030018449  
165000000  -0.488459468  -0.989257395  
166000000  -0.572859883  -0.940984070  
167000000  -0.652500570  -0.885448873  
168000000  -0.726618707  -0.822672427  
169000000  -0.794613063  -0.753743947  
170000000  -0.855984688  -0.679163873  
171000000  -0.910438061  -0.599843204  
172000000  -0.957242966  -0.516370714  
173000000  -0.996389985  -0.429218590  
174000000  -1.027669311  -0.339080691  
175000000  -1.050778270  -0.246644601  
176000000  -1.065538645  -0.152447224  
177000000  -1.071953297  -0.057424810  
178000000  -1.069890261  0.037405327  
179000000  -1.059536457  0.131681353  
180000000  -1.040872455  0.224617153  
181000000  -1.014119506  0.315458000  
182000000  -0.979330122  0.403486401  
183000000  -0.936934352  0.488129765  
184000000  -0.887302995  0.568389535  
185000000  -0.831025541  0.643739700  
186000000  -0.768281996  0.713664234  
187000000  -0.700023770  0.777365565  
188000000  -0.626647413  0.834835529  
189000000  -0.549094975  0.885337710  
190000000  -0.467717350  0.928711712  
191000000  -0.383461237  0.964915156  
192000000  -0.296254456  0.993872166  
193000000  -0.207474455  1.015120387  
194000000  -0.116908766  1.028634667  
195000000  -0.025998101  1.034232497  
196000000  0.065080538  1.031904459  
197000000  0.155353561  1.021955371  
198000000  0.243917465  1.004320741  
199000000  0.330743223  0.979423106  
200000000  0.414878845  0.947394609  
201000000  0.496000469  0.908392847  
202000000  0.573360860  0.863053977  
203000000  0.646821916  0.810890019  
204000000  0.716070473  0.752768993  
205000000  0.780387938  0.688648343  
206000000  0.838923991  0.618889272  
207000000  0.891476631  0.544021547  
208000000  0.937477708  0.464397907  
209000000  0.976260960  0.380806476  
210000000  1.007692456  0.294049412  
211000000  1.031187773  0.204845652  
212000000  1.047051668  0.114290796  
213000000  1.055117130  0.023228383  
214000000  1.055556655  -0.068046160  
215000000  1.048223376  -0.158765018  
216000000  1.033249140  -0.248634607  
217000000  1.010517836  -0.337110311  
218000000  0.980308831  -0.423493683  
219000000  0.942537069  -0.507210851  
220000000  0.897345245  -0.587635100  
221000000  0.845379710  -0.663792014  
222000000  0.786679924  -0.735330641  
223000000  0.721748590  -0.801592410  
224000000  0.651301682  -0.862065852  
225000000  0.575375438  -0.916095734  
226000000  0.495020688  -0.963249028  
227000000  0.410392880  -1.003353834  
228000000  0.322497964  -1.035706639  
229000000  0.231919199  -1.060306907  
230000000  0.139742896  -1.076756001  
231000000  0.046115730  -1.084506392  
232000000  -0.047812305  -1.084003806  
233000000  -0.141312644  -1.075249910  
234000000  -0.233666807  -1.058275104  
235000000  -0.323559165  -1.032745838  
236000000  -0.410944432  -0.999933720  
237000000  -0.495128959  -0.959285200  
238000000  -0.574989259  -0.911822200  
239000000  -0.650350630  -0.857508361  
240000000  -0.720268607  -0.797207117  
241000000  -0.784694910  -0.731048822  
242000000  -0.843064189  -0.659608603  
243000000  -0.894939721  -0.583310246  
244000000  -0.939901829  -0.502931476  
245000000  -0.977442086  -0.418516606  
246000000  -1.007390738  -0.331527144  
247000000  -1.029750586  -0.242004767  
248000000  -1.043917179  -0.151360527  
249000000  -1.050523400  -0.060054973  
250000000  -1.049003839  0.031171694  
251000000  -1.039670825  0.122146271  
252000000  -1.022452354  0.211763799  
253000000  -0.997227013  0.299507886  
254000000  -0.964561522  0.384512991  
255000000  -0.924544990  0.466398329  
256000000  -0.877936482  0.544348359  
257000000  -0.824662566  0.617998242  
258000000  -0.765342712  0.686336875  
259000000  -0.700369120  0.749373734  
260000000  -0.630107760  0.806505740  
261000000  -0.555202663  0.857305586  
262000000  -0.476499319  0.901229739  
263000000  -0.394368738  0.938239217  
264000000  -0.309300840  0.967959166  
265000000  -0.222099617  0.990339696  
266000000  -0.133426458  1.005275130  
267000000  -0.043719728  1.012424827  
268000000  0.046387099  1.011524558  
269000000  0.136280760  1.003185034  
270000000  0.225228816  0.987094223  
271000000  0.313277274  0.962015510  
272000000  0.398355275  0.931304038  
273000000  0.480941653  0.892125249  
274000000  0.560047030  0.845880151  
275000000  0.634955823  0.792371750  
276000000  0.704961717  0.732253611  
277000000  0.769468725  0.666249752  
278000000  0.827767015  0.594312012  
279000000  0.879201829  0.517212629  
280000000  0.923591375  0.435949594  
281000000  0.960503042  0.351462275  
282000000  0.989831448  0.264074713  
283000000  1.011501908  0.174631000  
284000000  1.025492668  0.084029242  
285000000  1.031367540  -0.007503084  
286000000  1.029274940  -0.099130020  
287000000  1.019100070  -0.190167621  
288000000  1.000972867  -0.280107468  
289000000  0.974752843  -0.368057877  
290000000  0.940693259  -0.453329235  
291000000  0.899305463  -0.535318136  
292000000  0.850604296  -0.613425791  
293000000  0.795245469  -0.686860383  
294000000  0.733345330  -0.755101800  
295000000  0.665906727  -0.817454517  
296000000  0.592642069  -0.873413026  
297000000  0.514819205  -0.922831237  
298000000  0.432910770  -0.964804709  
299000000  0.347766787  -0.999437511  
300000000  0.259873927  -1.026362538  
301000000  0.170194492  -1.044956803  
302000000  0.079062000  -1.055535197  
303000000  -0.011879919  -1.057551146  
304000000  -0.102641553  -1.052042961  
305000000  -0.192286596  -1.038680553  
306000000  -0.280069500  -1.017623663  
307000000  -0.365300328  -0.988675952  
308000000  -0.447422355  -0.953187823  
309000000  -0.526282549  -0.910611033  
310000000  -0.600710452  -0.862025321  
311000000  -0.670626581  -0.807055891  
312000000  -0.735796988  -0.746515214  
313000000  -0.795290530  -0.680610180  
314000000  -0.848480940  -0.609533250  
315000000  -0.895683944  -0.534590364  
316000000  -0.935744226  -0.456070393  
317000000  -0.969431043  -0.374545157  
318000000  -0.995816708  -0.290579170  
319000000  -1.015101075  -0.204880878  
320000000  -1.026944160  -0.117713809  
321000000  -1.031437397  -0.030080002  
322000000  -1.028101921  0.057628457  
323000000  -1.017252445  0.144658342  
324000000  -0.999026418  0.230411276  
325000000  -0.973310411  0.314326048  
326000000  -0.940654218  0.395547748  
327000000  -0.901349008  0.473538607  
328000000  -0.855586588  0.547649026  
329000000  -0.803810954  0.617513359  
330000000  -0.746434867  0.682735384  
331000000  -0.683744252  0.742949545  
332000000  -0.616365254  0.797744036  
333000000  -0.544614673  0.846751690  
334000000  -0.468634784  0.889406979  
335000000  -0.389424533  0.925695002  
336000000  -0.307325363  0.955283821  
337000000  -0.222701803  0.977730513  
338000000  -0.135957018  0.992873907  
339000000  -0.047918711  1.000840545  
340000000  0.040792208  1.000960112  
341000000  0.129858181  0.993449748  
342000000  0.218070328  0.977926433  
343000000  0.304840446  0.954918683  
344000000  0.389700890  0.923784018  
345000000  0.471888363  0.885025084  
346000000  0.550355554  0.839204907  
347000000  0.624637902  0.786234975  
348000000  0.693856478  0.726351202  
349000000  0.757319987  0.660381854  
350000000  0.814684212  0.588654697  
351000000  0.865418911  0.512359679  
352000000  0.908903360  0.431887716  
353000000  0.945252299  0.347840577  
354000000  0.974038005  0.260957092  
355000000  0.994850457  0.171951577  
356000000  1.007889032  0.081575975  
357000000  1.012809873  -0.009475714  
358000000  1.009448647  -0.100794420  
359000000  0.997994363  -0.191392750  
360000000  0.978472352  -0.280497193  
361000000  0.950771928  -0.367796361  
362000000  0.915291011  -0.452158749  
363000000  0.872244775  -0.532912314  
364000000  0.822138608  -0.609633207  
365000000  0.765195727  -0.681221128  
366000000  0.701806784  -0.747038603  
367000000  0.633022130  -0.807243526  
368000000  0.558878601  -0.860543489  
369000000  0.480444312  -0.906636536  
370000000  0.398520440  -0.945349753  
371000000  0.313598990  -0.976442873  
372000000  0.226144031  -0.999718785  
373000000  0.137645900  -1.015219688  
374000000  0.048380986  -1.022761941  
375000000  -0.040805697  -1.022095919  
376000000  -0.129565179  -1.014137745  
377000000  -0.216750309  -0.998271465  
378000000  -0.302098602  -0.975282431  
379000000  -0.384606808  -0.945293963  
380000000  -0.464677662  -0.908196926  
381000000  -0.540521026  -0.864388585  
382000000  -0.612624168  -0.814335465  
383000000  -0.679928124  -0.758220077  
384000000  -0.741824985  -0.696662307  
385000000  -0.798028171  -0.629959524  
386000000  -0.848460853  -0.558531404  
387000000  -0.892111659  -0.483440131  
388000000  -0.929081023  -0.404751658  
389000000  -0.959267616  -0.323158771  
390000000  -0.982221901  -0.239421993  
391000000  -0.997748315  -0.154090390  
392000000  -1.005831838  -0.067802347  
393000000  -1.006481409  0.018533086  
394000000  -0.999684572  0.104602672  
395000000  -0.985599875  0.189514875  
396000000  -0.964253545  0.272727579  
397000000  -0.935984313  0.353768796  
398000000  -0.901202142  0.432148308  
399000000  -0.859811068  0.507288635  
400000000  -0.811918139  0.578423440  
401000000  -0.758448362  0.645406961  
402000000  -0.699399590  0.707583308  
403000000  -0.635129631  0.764387429  
404000000  -0.566311181  0.815732121  
405000000  -0.492935747  0.861164570  
406000000  -0.415890515  0.899840295  
407000000  -0.335808367  0.932326674  
408000000  -0.252644211  0.957727492  
409000000  -0.167861283  0.975513279  
410000000  -0.081489339  0.985925436  
411000000  0.005511379  0.988655269  
412000000  0.092643738  0.983981073  
413000000  0.179298133  0.971424520  
414000000  0.264811724  0.951427698  
415000000  0.348026693  0.924160898  
416000000  0.428886563  0.889458299  
417000000  0.506296813  0.847679853  
418000000  0.579707623  0.799127758  
419000000  0.648315251  0.744385660  
420000000  0.712199509  0.683999538  
421000000  0.770486772  0.617869437  
422000000  0.822755814  0.547251463  
423000000  0.868765831  0.472326159  
424000000  0.908313572  0.393647432  
425000000  0.940797269  0.311848849  
