!Trace Data File
!Measurement: Smith Chart
!Data Points: 4000
#Freq/Hz  Real  Image
1000000  -1.122403026  0.205629021  
2000000  -1.100878716  0.291380972  
3000000  -1.067490220  0.378303409  
4000000  -1.026938319  0.467683822  
5000000  -0.978695691  0.554009199  
6000000  -0.923352420  0.639317214  
7000000  -0.860705912  0.717728317  
8000000  -0.791542649  0.791098952  
9000000  -0.715878546  0.857550383  
10000000  -0.635533929  0.916699171  
11000000  -0.550006092  0.968473077  
12000000  -0.460808009  1.012368202  
13000000  -0.368591517  1.047786593  
14000000  -0.273936182  1.075052500  
15000000  -0.177768961  1.093617320  
16000000  -0.081325293  1.104008317  
17000000  0.015595465  1.105606675  
18000000  0.111737266  1.099282026  
19000000  0.206664085  1.084577918  
20000000  0.299463749  1.062116265  
21000000  0.389616489  1.031925082  
22000000  0.476774067  0.994281173  
23000000  0.559850931  0.949462473  
24000000  0.638636112  0.898310602  
25000000  0.712402642  0.840910017  
26000000  0.781420827  0.777831733  
27000000  0.844607055  0.709120333  
28000000  0.901637375  0.635546148  
29000000  0.952575624  0.557524085  
30000000  0.996672213  0.475459278  
31000000  1.033907413  0.390146315  
32000000  1.063973427  0.302022904  
33000000  1.086269021  0.211544901  
34000000  1.101093650  0.119587906  
35000000  1.107990742  0.026629712  
36000000  1.107127547  -0.066813208  
37000000  1.098368287  -0.159887195  
38000000  1.081773043  -0.252086371  
39000000  1.057417750  -0.342838377  
40000000  1.025312424  -0.431364626  
41000000  0.985920191  -0.516904473  
42000000  0.939428985  -0.599065721  
43000000  0.885868907  -0.677071750  
44000000  0.825938642  -0.750301957  
45000000  0.759600043  -0.818679094  
46000000  0.687446833  -0.881253541  
47000000  0.610223293  -0.937675238  
48000000  0.527465165  -0.987438440  
49000000  0.440597087  -1.029992461  
50000000  0.350019366  -1.064756513  
51000000  0.256133080  -1.091768146  
52000000  0.159699678  -1.110629439  
53000000  0.061524857  -1.120545149  
54000000  -0.037656184  -1.121944070  
55000000  -0.136852220  -1.114264011  
56000000  -0.235873863  -1.097405553  
57000000  -0.332982957  -1.071845174  
58000000  -0.427700996  -1.037188053  
59000000  -0.519167066  -0.993882000  
60000000  -0.606277168  -0.942130625  
61000000  -0.688337088  -0.882368267  
62000000  -0.764451623  -0.815301895  
63000000  -0.834307373  -0.741736472  
64000000  -0.896747768  -0.661875308  
65000000  -0.951513946  -0.576824844  
66000000  -0.998367667  -0.487462848  
67000000  -1.036617279  -0.394025654  
68000000  -1.066197395  -0.297495127  
69000000  -1.086831212  -0.198766291  
70000000  -1.098313093  -0.098603733  
71000000  -1.100700378  0.001441819  
72000000  -1.093765378  0.101214282  
73000000  -1.078148603  0.200028181  
74000000  -1.052952409  0.297186762  
75000000  -1.019828081  0.391523421  
76000000  -0.977818429  0.482146263  
77000000  -0.928069651  0.568293810  
78000000  -0.870706022  0.649078846  
79000000  -0.806617260  0.724379539  
80000000  -0.736501634  0.792881131  
81000000  -0.660748780  0.854668558  
82000000  -0.580274820  0.908983350  
83000000  -0.495855570  0.955804408  
84000000  -0.408055395  0.995042205  
85000000  -0.317594230  1.026268840  
86000000  -0.225417688  1.049078465  
87000000  -0.132077619  1.063884377  
88000000  -0.038200907  1.070799708  
89000000  0.055423845  1.069356799  
90000000  0.148331702  1.060438156  
91000000  0.239702255  1.043279409  
92000000  0.329044491  1.018683195  
93000000  0.415675133  0.986951232  
94000000  0.499062538  0.947981894  
95000000  0.578796506  0.902631104  
96000000  0.654684961  0.850341082  
97000000  0.725593209  0.791778862  
98000000  0.791204751  0.727936685  
99000000  0.851137102  0.658706903  
100000000  0.905123174  0.584697366  
101000000  0.953406394  0.506073654  
102000000  0.994944334  0.423006654  
103000000  1.029247165  0.336652249  
104000000  1.055841327  0.247749299  
105000000  1.074931383  0.156992465  
106000000  1.086081386  0.064827584  
107000000  1.089510918  -0.027765855  
108000000  1.085137606  -0.120553382  
109000000  1.072686553  -0.213000014  
110000000  1.052342415  -0.304199517  
111000000  1.024418354  -0.393491536  
112000000  0.988676488  -0.480138093  
113000000  0.945761144  -0.563465714  
114000000  0.895560443  -0.643045545  
115000000  0.838883519  -0.718344092  
116000000  0.775370717  -0.788586438  
117000000  0.705773771  -0.853273213  
118000000  0.630383790  -0.912100732  
119000000  0.550296843  -0.964045346  
120000000  0.465572864  -1.009094238  
121000000  0.376741111  -1.046260357  
122000000  0.285135925  -1.075742841  
123000000  0.190274522  -1.097097874  
124000000  0.093878716  -1.110133290  
