!Trace Data File
!Measurement: Smith Chart
!Data Points: 4000
#Freq/Hz  Real  Image
1000000  1.127377868  -0.187451303  
2000000  1.115533471  -0.265132099  
3000000  1.090290666  -0.347492278  
4000000  1.057761669  -0.432925791  
5000000  1.017431378  -0.518531740  
6000000  0.970910788  -0.600752115  
7000000  0.916485727  -0.679849625  
8000000  0.855367541  -0.755657494  
9000000  0.787472248  -0.826022089  
10000000  0.713205695  -0.890504599  
11000000  0.633617580  -0.949141324  
12000000  0.548695326  -1.000638843  
13000000  0.458568096  -1.045068622  
14000000  0.364767671  -1.081265807  
15000000  0.267745078  -1.109464526  
16000000  0.168018922  -1.128495932  
17000000  0.066260114  -1.139109850  
18000000  -0.036177065  -1.140402794  
19000000  -0.139319539  -1.132129073  
20000000  -0.241441354  -1.114635587  
21000000  -0.342055142  -1.087193489  
22000000  -0.440332353  -1.050589323  
23000000  -0.534901381  -1.004603863  
24000000  -0.624911129  -0.950187087  
25000000  -0.710003734  -0.887460887  
26000000  -0.788195014  -0.816366255  
27000000  -0.859403849  -0.738604665  
28000000  -0.922767699  -0.654844880  
29000000  -0.977967143  -0.565388083  
30000000  -1.024324417  -0.471444845  
31000000  -1.061705470  -0.373867273  
32000000  -1.089827895  -0.273226500  
33000000  -1.108330131  -0.170505837  
34000000  -1.117424846  -0.066438287  
35000000  -1.116643548  0.037795816  
36000000  -1.106322289  0.141112059  
37000000  -1.086495638  0.242342755  
38000000  -1.057537794  0.341034472  
39000000  -1.019824147  0.436502844  
40000000  -0.973553121  0.527626038  
41000000  -0.919301450  0.613885701  
42000000  -0.857558250  0.694702387  
43000000  -0.788945258  0.769308329  
44000000  -0.713885665  0.836817324  
45000000  -0.633603036  0.897319376  
46000000  -0.548046052  0.949758768  
47000000  -0.459305376  0.993982375  
48000000  -0.367272884  1.029907346  
49000000  -0.272895604  1.057427287  
50000000  -0.177243590  1.076397777  
51000000  -0.080859132  1.086487889  
52000000  0.015823543  1.088827491  
53000000  0.111411378  1.082416415  
54000000  0.206072971  1.067870855  
55000000  0.298864126  1.045094013  
56000000  0.388835132  1.014791608  
57000000  0.475660473  0.977137446  
58000000  0.558811247  0.932360947  
59000000  0.637646854  0.880702436  
60000000  0.711561382  0.822900593  
61000000  0.780282259  0.758982062  
62000000  0.843511462  0.689524710  
63000000  0.900157332  0.615059733  
64000000  0.950486600  0.536072135  
65000000  0.994160771  0.452723235  
66000000  1.030523300  0.365795076  
67000000  1.059399366  0.275909036  
68000000  1.080494285  0.183953047  
